No.	order	Family	genus	species	species_rv	JapaneseName	ecology	hunting_mode	abbreviation
1	Araneae	-	-	unidentified_predator	unidentified_predator	不明_predator	-	unidentified	Unidentified
2	Araneae	Tetragnathidae	Pachygnatha	Pachygnatha_tenera	Pachygnatha_tenera	ヒメアシナガグモ	free-living	sit-and-wait	Pac_ten
3	Araneae	Tetragnathidae	Pachygnatha	Pachygnatha_quadrimaculata	Pachygnatha_quadrimaculata	ヨツボシヒメアシナガグモ	free-living	sit-and-wait	Pac_qua
4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	Tetragnatha_praedonia	アシナガグモ	web-weabing	web-weabing	Tet_pra
5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	Tetragnatha_squamata	ウロコアシナガグモ	web-weabing	web-weabing	Tet_squ
6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	Tetragnatha_caudicula	トガリアシナガグモ	web-weabing	web-weabing	Tet_cau
7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	Leucauge_blanda	チュウガタシロカネグモ	web-weabing	web-weabing	Leu_bla
8	Araneae	Tetragnathidae	Leucauge	Leucauge_celebesiana	Leucauge_celebesiana	オオシロカネグモ	web-weabing	web-weabing	Leu_cel
9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	Philodromus_sp.	エビグモ属	free-living	active-hunting	Phi_sp.
10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	Thomisus_labefactus	アズチグモ	free-living	sit-and-wait	Tho_lab
11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	Xysticus_sp.	カニグモ属	free-living	active-hunting	Xys_sp.
12	Araneae	Thomisidae	Diaea	Diaea_subdola	Diaea_subdola	コハナグモ	free-living	sit-and-wait	Dia_sub
13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	Ebrechtella_tricuspidata	ハナグモ	free-living	sit-and-wait	Ebr_tri
